Team name,Submission Time,Preference Estimation,Review Generation,Overall Quality
RankMe, 2025-01-03, 0.6823, 0.8087, 0.7455
伸腿瞪眼丸, 2025-01-06, 0.8014, 0.8021, 0.8017
LiLaiLai, 2025-01-07, 0.7053, 0.8094, 0.7573
AwesomeAgent, 2025-01-07, 0.6856, 0.8096, 0.7476
Civilization, 2025-01-08, 0.7007, 0.8162, 0.7584
AwesomeAgent, 2025-01-08, 0.8498, 0.8680, 0.8589
梦幻泡影,2025-01-09,0.7917,0.8741,0.8329
那我问你,2025-01-09,0.8397,0.7222,0.7809
KON,2025-01-09,0.8453,0.8365,0.8409
LiLaiLai,2025-01-10,0.7937,0.8728,0.8332
JustRec,2025-01-10,0.7960,0.8717,0.8338
Agent o1,2025-01-10,0.7960,0.8711,0.8335
ASC,2025-01-10,0.8975,0.8948,0.8962
hahaha,2025-01-10,0.7907,0.8746,0.8327
tsdxgxxb,2025-01-10,0.7953,0.8712,0.8333